#,x1,x2,x3,y
1,518,70,743,1
2,175,602,919,0
3,373,809,631,0
4,70,875,156,0
5,506,954,501,0
6,88,441,295,0
7,180,644,27,0
8,559,322,634,0
9,369,699,618,0
10,343,42,726,1
11,991,166,889,1
12,333,621,276,0
13,371,227,453,0
14,373,926,416,0
15,551,716,345,0
16,566,540,661,0
17,102,448,239,0
18,998,831,205,0
19,133,969,114,0
20,155,946,676,0
21,633,383,899,1
22,269,820,669,0
23,273,596,974,0
24,848,906,838,0
25,355,398,844,1
26,491,667,981,0
27,896,131,497,1
28,498,35,744,1
29,817,156,638,1
30,957,846,143,0
31,853,801,535,0
32,606,387,764,0
33,637,83,483,1
34,596,247,172,0
35,152,49,881,1
36,115,700,145,0
37,276,955,710,0
38,642,159,405,1
39,836,41,834,1
40,839,701,444,0
41,953,102,748,1
42,487,910,926,0
43,221,60,961,1
44,890,51,230,1
45,419,307,127,0
46,547,752,194,0
47,479,319,76,0
48,112,494,452,0
49,605,422,694,0
50,27,40,725,1
51,621,201,705,1
52,361,594,385,0
53,678,344,390,0
54,997,16,326,1
55,816,232,350,0
56,641,810,560,0
57,528,811,761,0
58,597,784,221,0
59,861,79,571,1
60,735,471,536,0
61,975,659,94,0
62,856,416,463,0
63,641,279,716,1
64,813,938,46,0
65,788,480,847,0
66,770,949,839,0
67,865,958,104,0
68,44,852,96,0
69,852,322,149,0
70,144,904,132,0
71,72,519,921,0
72,844,196,280,0
73,884,807,993,0
74,112,205,463,1
75,790,229,948,1
76,828,467,672,0
77,53,843,846,0
78,151,242,495,1
79,501,680,844,0
80,51,882,219,0
81,592,81,409,1
82,647,222,969,1
83,362,266,482,0
84,639,336,653,0
85,729,887,779,0
86,983,971,238,0
87,731,115,675,1
88,783,254,850,1
89,972,635,247,0
90,664,219,332,0
91,650,969,234,0
92,11,212,395,0
93,515,543,15,0
94,256,465,16,0
95,241,740,349,0
96,134,743,686,0
97,340,459,330,0
98,446,870,398,0
99,814,190,936,1
100,789,431,379,0
